parent_id,child_id,parent_date,child_date
1896/28,1897/15,2015-January-10,2015-January-18
1896/28,1905/04,2015-January-10,2015-March-09
1896/28,1909/20,2015-January-10,2015-April-06
1896/28,1913/04,2015-January-10,2015-May-05
1896/28,1933/13,2015-January-10,2015-September-21
1896/28,1936/51,2015-January-10,2015-October-15
1896/28,1942/10,2015-January-10,2015-November-24
1896/28,1945/41,2015-January-10,2015-December-18
1896/28,1958/72,2015-January-10,2016-March-18
1896/28,1979/18,2015-January-10,2016-August-08
1896/28,2022/34,2015-January-10,2017-June-9
1896/28,2026/35,2015-January-10,2017-July-06
1896/28,2032/32,2015-January-10,2017-August-17
1896/28,2035/29,2015-January-10,2017-September-08
1896/28,2050/14,2015-January-10,2017-December-20
1896/28,2059/23,2015-January-10,2018-February-20
1896/28,2059/24,2015-January-10,2018-February-20
1896/28,2064/26,2015-January-10,2018-March-28
1896/28,2070/56,2015-January-10,2018-May-12
1896/28,2072/16,2015-January-10,2018-May-22
1896/28,2073/19,2015-January-10,2018-May-31
1896/28,2103/33,2015-January-10,2018-December-28
1896/28,2103/34,2015-January-10,2018-December-28
1896/28,2105/39,2015-January-10,2019-January-10
1896/28,2106/09,2015-January-10,2019-January-16
1896/28,2106/10,2015-January-10,2019-January-16
1896/28,2115/10,2015-January-10,2019-March-18
