gazette_id,date,url,name,description
1896/28,2015-January-10,http://documents.gov.lk/files/egz/2015/1/1896-28_E.pdf,1896/28 Extra Ordinary Gazette,Functions and Amendments
1897/15,2015-January-18,http://documents.gov.lk/files/egz/2015/1/1897-15_E.pdf,1897/15 Extra Ordinary Gazette,Functions and Amendments
1905/04,2015-March-09,http://documents.gov.lk/files/egz/2015/3/1905-04_E.pdf,1905/04 Extra Ordinary Gazette,Functions and Amendments
1909/20,2015-April-06,http://documents.gov.lk/files/egz/2015/4/1909-20_E.pdf,1909/20 Extra Ordinary Gazette,Functions and Amendments
1913/04,2015-May-05,http://documents.gov.lk/files/egz/2015/5/1913-04_E.pdf,1913/04 Extra Ordinary Gazette,Functions and Amendments
1933/13,2015-September-21,http://documents.gov.lk/files/egz/2015/9/1933-13_E.pdf,1933/13 Extra Ordinary Gazette,Functions and Amendments
1936/51,2015-October-15,http://documents.gov.lk/files/egz/2015/10/1936-51_E.pdf,1936/51 Extra Ordinary Gazette,Functions and Amendments
1942/10,2015-November-24,http://documents.gov.lk/files/egz/2015/11/1942-10_E.pdf,1942/10 Extra Ordinary Gazette,Functions and Amendments
1945/41,2015-December-18,http://documents.gov.lk/files/egz/2015/12/1945-41_E.pdf,1945/41 Extra Ordinary Gazette,Functions and Amendments
1958/72,2016-March-18,http://documents.gov.lk/files/egz/2016/3/1958-72_E.pdf,1958/72 Extra Ordinary Gazette,Functions and Amendments
1979/18,2016-August-08,http://documents.gov.lk/files/egz/2016/8/1979-18_E.pdf,1979/18 Extra Ordinary Gazette,Functions and Amendments
2022/34,2017-June-09,http://documents.gov.lk/files/egz/2017/6/2022-34_E.pdf,2022/34 Extra Ordinary Gazette,Functions and Amendments
2026/35,2017-July-06,http://documents.gov.lk/files/egz/2017/7/2026-35_E.pdf,2026/35 Extra Ordinary Gazette,Functions and Amendments
2032/32,2017-August-17,http://documents.gov.lk/files/egz/2017/8/2032-32_E.pdf,2032/32 Extra Ordinary Gazette,Functions and Amendments
2035/29,2017-September-08,http://documents.gov.lk/files/egz/2017/9/2035-29_E.pdf,2035/29 Extra Ordinary Gazette,Functions and Amendments
2050/14,2017-December-20,http://documents.gov.lk/files/egz/2017/12/2050-14_E.pdf,2050/14 Extra Ordinary Gazette,Functions and Amendments
2059/23,2018-February-20,http://documents.gov.lk/files/egz/2018/2/2059-23_E.pdf,2059/23 Extra Ordinary Gazette,Functions and Amendments
2059/24,2018-February-20,http://documents.gov.lk/files/egz/2018/2/2059-24_E.pdf,2059/24 Extra Ordinary Gazette,Functions and Amendments
2064/26,2018-March-28,http://documents.gov.lk/files/egz/2018/3/2064-26_E.pdf,2064/26 Extra Ordinary Gazette,Functions and Amendments
2070/56,2018-May-12,http://documents.gov.lk/files/egz/2018/5/2070-56_E.pdf,2070/56 Extra Ordinary Gazette,Functions and Amendments
2072/16,2018-May-22,http://documents.gov.lk/files/egz/2018/5/2072-16_E.pdf,2072/16 Extra Ordinary Gazette,Functions and Amendments
2073/19,2018-May-31,http://documents.gov.lk/files/egz/2018/5/2073-19_E.pdf,2073/19 Extra Ordinary Gazette,Functions and Amendments
2103/33,2018-December-28,http://documents.gov.lk/files/egz/2018/12/2103-33_E.pdf,2103/33 Extra Ordinary Gazette,Functions and Amendments
2103/34,2018-December-28,http://documents.gov.lk/files/egz/2018/12/2103-34_E.pdf,2103/34 Extra Ordinary Gazette,Functions and Amendments
2105/39,2019-January-10,http://documents.gov.lk/files/egz/2019/1/2105-39_E.pdf,2105/39 Extra Ordinary Gazette,Functions and Amendments
2106/09,2019-January-16,http://documents.gov.lk/files/egz/2019/1/2106-09_E.pdf,2106/09 Extra Ordinary Gazette,Functions and Amendments
2106/10,2019-January-16,http://documents.gov.lk/files/egz/2019/1/2106-10_E.pdf,2106/10 Extra Ordinary Gazette,Functions and Amendments
2115/10,2019-March-18,http://documents.gov.lk/files/egz/2019/3/2115-10_E.pdf,2115/10 Extra Ordinary Gazette,Functions and Amendments
